opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,org_title,org_content_id,addresses_count,locality,region,postalcode,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,start_date_converted,start_date_month
5008,37036,2,0,Web designer,22,Build a website for an Afghan business,,1.0,Strengthening Communities,Bpeace,37026,1,"5 22nd St
New York, NY 10010
(40.74053152272978, -73.98923530081726)",NY,10010.0,/opportunities/5008,onetime,0,January 14 2011,January 25 2011,February 01 2011,February 01 2011,approved,2011-02-01,2
5016,37143,20,0,Urban Adventures - Ice Skating at Lasker Rink,62,"Please join us and the students from Mott Hall on Saturday, January 29th, for an ice skating trip to Lasker Lanes!",,1.0,Strengthening Communities,Street Project,3001,1,,NY,10026.0,/opportunities/5016,onetime,0,January 19 2011,January 21 2011,January 29 2011,January 29 2011,approved,2011-01-29,1
5022,37237,500,0,Fight global hunger and support women farmers - Join the Oxfam Action Corps in NYC!,14,"The Oxfam Action Corps is a group of dedicated volunteers that raise awareness by holding events and reaching out to people in our neighborhoods, town events, rock concerts – and, most importantly, in the halls of Congress.  Sign up by February 14:  http://www.oxfamactioncorps.org",,1.0,Strengthening Communities,Oxfam America,2170,1,,NY,2114.0,/opportunities/5022,ongoing,0,January 21 2011,January 25 2011,February 14 2011,March 31 2012,approved,2011-02-14,2
5055,37425,15,0,Stop 'N' Swap,31,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",,4.0,Environment,Office of Recycling Outreach and Education,36773,1,,NY,10455.0,/opportunities/5055,onetime,0,January 28 2011,February 01 2011,February 05 2011,February 05 2011,approved,2011-02-05,2
5056,37426,15,0,Queens Stop 'N' Swap,135,"Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",,4.0,Environment,Office of Recycling Outreach and Education,36773,1,,NY,11372.0,/opportunities/5056,onetime,0,January 28 2011,January 28 2011,February 12 2011,February 12 2011,approved,2011-02-12,2
5053,37406,2,0,Staff Development Trainer,156,The Jewish Museum seeks a volunteer staff development trainer.,,1.0,Strengthening Communities,The Jewish Museum,37348,1,"1109 Fifth Avenue
New York, NY 10128
(40.78553359707598, -73.95746225352207)",NY,10128.0,/opportunities/5053,ongoing,0,January 27 2011,January 28 2011,January 27 2011,January 27 2012,approved,2011-01-27,1
5085,37652,20,0,CLARO Brooklyn Volunteer Attorney,4407,"Provide legal advice, information and resources to individuals facing consumer debt cases in Kings County Civil Court.  Use your legal skills to give self-represented litigants the tools they need to effectively represent themselves in civil court.",y,2.0,Helping Neighbors in Need,"Brooklyn Bar Association Volunteer Lawyers Project, Inc.",3784,1,,NY,11201.0,/opportunities/5085,ongoing,0,February 07 2011,August 11 2011,February 07 2011,February 07 2012,approved,2011-02-07,2
5093,37741,1,0,Volunteer-Community Health Advocates,928,"Community Health Advocates (CHA);formerly NYC Managed Care Consumer Assistance Program or NYC MCCAP provides information, advice, and navigational assistance to New Yorkers.",,5.0,Health,Community Service Society of New York,37737,1,,NY,10010.0,/opportunities/5093,ongoing,0,February 09 2011,February 11 2011,February 14 2011,February 09 2012,approved,2011-02-14,2
5108,37844,8,0,Supervise children in Highland Park Children's Garden,491,Garden with children and supervise activities on Saturdays.,,1.0,Strengthening Communities,New York City Department of Parks & Recreation,3706,1,,NY,11415.0,/opportunities/5108,ongoing,0,February 14 2011,February 14 2011,April 02 2011,October 08 2012,approved,2011-04-02,4
5118,37949,15,0,WorldofMoney.org's Youth Amazing Race,332,"From the Cloisters to Wall Street, WoM youth teams will receive clues, then dash to each business, historical landmark, cultural institution or financial institution where they will perform tasks.",,3.0,Education,WorldofMoney.org,3155,1,,NY,10036.0,/opportunities/5118,ongoing,0,February 18 2011,February 22 2011,April 19 2011,April 20 2012,approved,2011-04-19,4
5119,37950,4,0,Qualified Board Member Seats Available,276,"The WorldofMoney.org has a five year of a proven track record of delivering empowering financial and business education to underserved youth, ages 12 - 18.",,1.0,Strengthening Communities,WorldofMoney.org,3155,1,,NY,10036.0,/opportunities/5119,ongoing,0,February 18 2011,February 22 2011,February 18 2011,February 18 2012,approved,2011-02-18,2
5121,37958,25,0,Young Adult Tutor (Updated 3/30/11),465,"Change your life by changing someone else’s. Tutor young adult males in high school who are aging out of the foster care system. Are you reliable? Social? Do you have a positive attitude? If that was a resounding yes, then see full description...",,3.0,Education,JBFCS,1891,1,,NY,10004.0,/opportunities/5121,ongoing,0,February 18 2011,March 30 2011,February 18 2011,March 30 2012,approved,2011-02-18,2
5137,38099,1,0,Health Insurance Claims Manager,119,"Position entails completing mental health claim forms monthly, tracking payments and interfacing with insurance companies regarding payments, etc.",,2.0,Helping Neighbors in Need,Institute For Human Identity,3350,1,,NY,10001.0,/opportunities/5137,ongoing,0,February 24 2011,July 13 2011,February 24 2011,February 24 2012,approved,2011-02-24,2
5138,38100,1,0,Health Insurance Claims Manager,236,"Position entails completing mental health claim forms monthly, tracking payments and interfacing with insurance companies regarding payments, etc.",,1.0,Strengthening Communities,Institute For Human Identity,3350,1,,NY,10001.0,/opportunities/5138,ongoing,0,February 24 2011,February 24 2011,February 24 2011,February 24 2012,approved,2011-02-24,2
5150,38237,25,0,TimeBanksNYC: THE GREAT EXCHANGE ,3334,Join us at the largest timebanking event in New York City!,y,2.0,Helping Neighbors in Need,TimeBanksNYC,36902,1,,NY,10003.0,/opportunities/5150,onetime,0,March 01 2011,May 16 2011,June 12 2011,June 12 2011,approved,2011-06-12,6
5156,38291,250,0,Community Clean Up at Asbury Cementary in Staten Island ,266,Clean up of abandoned cemetery on Staten Island,,1.0,Strengthening Communities,Where To Turn,2879,1,,NY,10314.0,/opportunities/5156,ongoing,0,March 04 2011,March 04 2011,April 02 2011,October 31 2011,approved,2011-04-02,4
5174,38410,10,0,Senior Citizen Friendly Visitor ,834,Help decrease social isolation within the senior citizen population by visiting with a senior friend once a week for about an hour.,,2.0,Helping Neighbors in Need,"Services Now for Adult Persons, Inc.",37227,1,,NY,11427.0,/opportunities/5174,ongoing,0,March 09 2011,March 09 2011,March 09 2011,March 08 2012,approved,2011-03-09,3
5175,38414,4,0,Shop Volunteer,653,Retail sales support for the Shop@RMA.,,1.0,Strengthening Communities,Rubin Museum Of Art,3104,1,"150 17th Street
New York, NY 10011
(40.74018978035866, -73.99762597535062)",NY,10011.0,/opportunities/5175,ongoing,0,March 09 2011,March 09 2011,March 09 2011,March 08 2012,approved,2011-03-09,3
